"ProjectID","Address","Project Name","Prior Site Name","Street Number","Street Name","Project Description","Neighborhood","Project Stage","Year Complete","Developer Name","Zoning","Planning Board Special Permit","Building Permit","Total GFA","Lot Area","FAR","Primary Use","Residential Units","Hotel Rooms","Note","Latitude","Longitude","Coordinates"
"327","160-180 Cambridgepark Drive","Windsor at Cambridge Park","","160-180","Cambridgepark Drive","Garage also includes 150 spaces shared with adjacent office buildings.","11 - North Cambridge","Complete","2014","BRE/CPD","O-2A/AOD-6","PB270","BLDM-000826-2013","445,000","183,604","2.40","Residential","398",,"Garage also includes 150 spaces shared with adjacent office buildings. ","42.3950042","-71.147528166","POINT (-71.147528166 42.3950042)"
"331","610 Main Street","Pfizer Phase 1/South Building","","610","Main Street","FAR includes Phase I building. 650 Parking spaces in underground garage. 380 spaces shared with 700 Main St. 270 spaces allocated to Phase II.","4 - The Port/Area IV","Complete","2014","MITIMCO","IB","PB238","112013-026869","180,053","210,215","2.75","Office/R&D",,,"FAR includes Phase I building. 650 Parking spaces in underground garage. 380 spaces shared with 700 Main St. 270 spaces allocated to Phase II. ","42.3618402208","-71.094442746","POINT (-71.0944427459999 42.3618402207998)"
"358","40 Norris Street","40 Norris Street","North Cambridge Catholic HS","40","Norris Street","","11 - North Cambridge","Complete","2014","Lacourt Family LLC","B","PB252","1112152-037888","45,578","25,700","1.80","Residential","25",," ","42.395095963","-71.12965307","POINT (-71.12965307 42.395095963)"
"365","8 Education Street","EF Building 2 - Offices & Hult Business School","","8","Education Street","","1 - East Cambridge","Complete","2014","Congress Group Ventures","NP/PUD-6","PB262","BLDC-014347-2014","295,000","138,000","2.14","Office/R&D",,," ","42.3696155886","-71.068963569","POINT (-71.068963569 42.3696155885998)"
"389","10 Glassworks Avenue","Avalon Bay North Point - Avalon North Point Lofts","Maple Leaf Building","10","Glassworks Avenue","Parking located in existing Avalon Bay / Archstone Phase I garage.","1 - East Cambridge","Complete","2014","Archstone Development","NP/PUD-6","PB175","1112137-020645","63,210","247,431","3.77","Residential","104",,"Parking located in existing Avalon Bay / Archstone Phase I garage. ","42.37027042","-71.072853428","POINT (-71.072853428 42.3702704199998)"
"397","32 Quincy Street","Harvard Fogg Museum Addition","","32","Quincy Street","FAR based on entire parcel and includes several existing buildings. Parking allocate from Harvard University pool.","6 - Mid-Cambridge","Complete","2014","Harvard College","C-3","N/A","1210153-038829","204,000","184,924","2.08","Museum",,,"FAR based on entire parcel and includes several existing buildings. Parking allocate from Harvard University pool. ","42.374186898","-71.114444381","POINT (-71.1144443809999 42.3741868979998)"
"402","168-174 Hampshire Street","168-174 Hampshire Street","KFC","168-174","Hampshire Street","","4 - The Port/Area IV","Complete","2014","Agnosis Developmnet LLC","BA","N/A","213013-027680","23,543","10,100","2.33","Residential","11",," ","42.3720348797","-71.098960054","POINT (-71.098960054 42.3720348797)"
"406","18 White Street","18 White Street","","18","White Street","","11 - North Cambridge","Complete","2014","Ben Rogan","BC","N/A","BLDM-007372-2013","9,979","5,080","1.96","Residential","8",," ","42.3888947005","-71.118292059","POINT (-71.1182920589999 42.3888947005)"
"614","80-90 Fawcett Street","Atmark","","80-90","Fawcett Street","Project was in two phases with Phase 1 complete in 2013 with 90 units, 10 affordable and all parking.","12 - Cambridge Highlands","Complete","2014","CCF/O'Connor","O-1/AOD-4","PB255","212195-017996","466,361","197,173","2.37","Residential","429",,"Project was in two phases with Phase 1 complete in 2013 with 90 units, 10 affordable and all parking. ","42.391209966","-71.14594827","POINT (-71.14594827 42.3912099659998)"
"615","223 Concord Turnpike","Vox on 2","","223","Concord Turnpike","","11 - North Cambridge","Complete","2014","CPC-T, LP","SD-4A","PB254","1111207-016780","253,620","173,909","1.46","Residential","227",," ","42.400003863","-71.150612257","POINT (-71.150612257 42.400003863)"
"234","450 Kendall Street","Cambridge Research Park - Lofts Building","","450","Kendall Street","Parking is provided in Cambridge Research Park pooled facility.","1 - East Cambridge","Complete","2015","Biomed Realty Trust","O-3/PUD-3","PB141","BLDC-008322-2013","53,000","14,463","3.66","Office/R&D",,,"Parking is provided in Cambridge Research Park pooled facility. ","42.3633954768","-71.081528459","POINT (-71.0815284589999 42.3633954768)"
"312","159 First Street","First Street PUD - Axiom Cambridge","","159","First Street","Also known as 33 Rogers Street. 64 spaces located on-site and 15 spaces located off-site.","1 - East Cambridge","Complete","2015","Urban Spaces","IA-1/BA/PUD-4B","PB231","BLDM-002316-2013","126,000","29,999","4.20","Residential","115",,"Also known as 33 Rogers Street. 64 spaces located on-site and 15 spaces located off-site. ","42.3661407135","-71.078419244","POINT (-71.078419244 42.3661407135)"
"325","7 Temple Street","YWCA Site","","7","Temple Street","Formerly 5 Temple Street. Parking spaces serve a total of 66 units on-site; 42 new units and 24 existing units.","6 - Mid-Cambridge","Complete","2015","Cambridge Affordable Hsg. Corp","BB/O-3/CSOD","N/A","BLDM-008282-2013","96,161","36,990","2.59","Residential","40",,"Formerly 5 Temple Street. Parking spaces serve a total of 66 units on-site; 42 new units and 24 existing units. ","42.3665710542","-71.104347968","POINT (-71.1043479679999 42.3665710542)"
"326","114 Mount Auburn Street","Conductor's Building","","114","Mount Auburn Street","Includes retail component with size TBD. Parking reduced to zero because of commercial parking available in Charles Hotel garage.","10 - West Cambridge","Complete","2015","Carpenter Company","BB/HSOD","PB235","BLDC-011354-2014","83,200","20,800","4.00","Office/R&D",,,"Includes retail component with size TBD. Parking reduced to zero because of commercial parking available in Charles Hotel garage. ","42.3730377012","-71.122361061","POINT (-71.122361061 42.3730377011998)"
"334","22 Water Street","Zinc","","22","Water Street","","1 - East Cambridge","Complete","2015","Catamount Holdings LLC","NP/PUD-6","PB247","BLDC-002865-2013","408,225","104,673","4.62","Residential","392",," ","42.372903124","-71.078478566","POINT (-71.078478566 42.3729031239998)"
"356","1801 Massachusetts Avenue","Lesley University Lunder Arts Center","","1801","Massachusetts Avenue","Parking allocated from Lesley University pool.","8 - Baldwin","Complete","2015","Lesley University","BA-2/NMAOD","PB253","BLDC-011478-2014","74,500","28,063","2.65","Institutional",,,"Parking allocated from Lesley University pool. ","42.386577908","-71.118749535","POINT (-71.118749535 42.386577908)"
"367","181 Massachusetts Avenue","Novartis Expansion","","181","Massachusetts Avenue","","4 - The Port/Area IV","Complete","2015","Novartis","SD-15","PB265","612325-027729","572,663","163,618","3.50","Office/R&D","46",," ","42.3610031342","-71.095934653","POINT (-71.095934653 42.3610031341998)"
"369","75/125 Binney Street","Alexandria PUD - 75/125 Binney Street","","75/125","Binney Street","Garage totals 397 spaces with 76 allocated to 270 Third Street and 17 allocated to 161 First Street.","1 - East Cambridge","Complete","2015","Alexandria Real Estate","IA-1/PUD-3A","PB243","1112169-012177","338,258","104,185","3.37","Office/R&D",,,"Garage totals 397 spaces with 76 allocated to 270 Third Street and 17 allocated to 161 First Street. ","42.365799477","-71.080741686","POINT (-71.0807416859999 42.365799477)"
"373","270 Third Street","Alexandria PUD - Vivo Apartments","","270","Third Street","Parking allocated from 75-125 Binney Street garage.","1 - East Cambridge","Complete","2015","Alexandria Real Estate","IA-1/PUD-4B","PB243","BLDM-020260-2014","91,122","17,435","4.47","Residential","91",,"Parking allocated from 75-125 Binney Street garage. ","42.3659489242","-71.082095164","POINT (-71.0820951639999 42.3659489241998)"
"385","603 Concord Avenue","Acorn Holdings Concord Ave. Phase I","","603","Concord Avenue","61 residential and 16 retail spaces","12 - Cambridge Highlands","Complete","2015","AbodeZ Acorn LLC","BA/AOD-5","PB269","BLDC-005490-2013","64,189","29,034","2.21","Residential","61",,"61 residential and 16 retail spaces ","42.3889607389","-71.144505953","POINT (-71.144505953 42.3889607389)"
"394","20 Child Street","Cambridge Crossing (North Point) - Building N - Twenty/20","","20","Child Street","FAR for overall North Point development.","1 - East Cambridge","Complete","2015","HYM Investments","NP/PUD-6","PB179","BLDC-003384-2013","388,000","49,284","2.66","Residential","355",,"FAR for overall North Point development. ","42.371614925","-71.071995059","POINT (-71.071995059 42.371614925)"
"401","100 Putnam Avenue","Martin Luther King, Jr. School","","100","Putnam Avenue","34 spaces by zoning but 75 spaces available using tandem parking.","7 - Riverside","Complete","2015","City of Cambridge","C-1","PB277","BLDC-012909-2014","169,221","147,534","1.15","Government",,,"34 spaces by zoning but 75 spaces available using tandem parking. ","42.367030192","-71.113316458","POINT (-71.113316458 42.367030192)"
