"Project ID","Project Name","Address","Street Number","Street Name","Map-Lot","Status","Year Complete","Latitude","Longitude","Coordinates"
"662","51-63 Loomis Street","51-63 Loomis Street","51-63","Loomis Street","267C-92","Complete","2012","42.3939","-71.1535","42 3938509999999   "
"311","424-430 Windsor Street","424-430 Windsor Street","424-430","Windsor Street","80-178","Complete","2012","42.3714","-71.0937","42 3713550370001   "
"351","1063-1077 Massachusetts Avenue","1063-1077 Massachusetts Avenue","1063-1077","Massachusetts Avenue","134-50","Complete","2012","42.3704","-71.1131","42 3703541869999   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street"," 190-279","Complete","2013","42.3977","-71.1339","42 397724306   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street"," 190-278","Complete","2013","42.3977","-71.1339","42 397724306   "
"347","Lincoln Way Apartments Replacement","181 Walden Street","181","Walden Street","204-147","Complete","2013","42.3875","-71.1287","42 3874714749998   "
"387","22, 27 Cottage Park Avenue","22, 27 Cottage Park Avenue","22, 27","Cottage Park Avenue","189-102","Complete","2013","42.3986","-71.1332","42 3986372147   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street"," 190-273","Complete","2013","42.3977","-71.1339","42 397724306   "
"374","Alexandria PUD - 225 Binney Street","225 Binney Street","225","Binney Street","28-23","Complete","2013","42.3663","-71.0856","42 366282445   "
"363","Multiservice Center","5 Western Avenue","5","Western Avenue","105-61","Complete","2013","42.3653","-71.1055","42 365315815   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street"," 190-282","Complete","2013","42.3977","-71.1339","42 397724306   "
"232","Cambridge Research Park - Watermark 2","250 Kendall Street","250","Kendall Street","14-1038","Complete","2013","42.3636","-71.0823","42 363567138   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street"," 190-274","Complete","2013","42.3977","-71.1339","42 397724306   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street","190-270","Complete","2013","42.3977","-71.1339","42 397724306   "
"357","61-69 Bolton Street","61-69 Bolton Street","61-69","Bolton Street","203A-69","Complete","2013","42.3904","-71.1324","42 3904014749998   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street"," 190-275","Complete","2013","42.3977","-71.1339","42 397724306   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street"," 190-281","Complete","2013","42.3977","-71.1339","42 397724306   "
"251","St. John's Resident Phase 1B/The Wyeth","120 Rindge Avenue","120","Rindge Avenue","195-169","Complete","2013","42.3927","-71.1299","42 392653559   "
"376","First Street PUD - 150 Second Street","150 Second Street","150","Second Street","10-16","Complete","2013","42.367","-71.0792","42 3669884019998   "
"340","aka 2419 Massachusetts Avenue","7 Cameron Avenue","7","Cameron Avenue","184-106","Complete","2013","42.3979","-71.1302","42 3978765319998   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street"," 190-271","Complete","2013","42.3977","-71.1339","42 397724306   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street"," 190-276","Complete","2013","42.3977","-71.1339","42 397724306   "
"386","100 Pacific Street","100 Pacific Street","100","Pacific Street","95-58","Complete","2013","42.3607","-71.1035","42 360746714   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street"," 190-280","Complete","2013","42.3977","-71.1339","42 397724306   "
