"Project ID","Project Name","Address","Street Number","Street Name","Map-Lot","Status","Year Complete","Latitude","Longitude","Coordinates"
"722","101 Cambridgepark Drive","101 Cambridgepark Drive","101","Cambridgepark Drive","267.4-323","Complete","2022","42.395","-71.1448","42 39504   "
"708","Cambridge Crossing (North Point) - Building I/Park 151","151 North First Street","151","North First Street","1A-208","Complete","2022","42.3726","-71.0753","42 372599   "
"719","The Engine","730-750 Main Street","730-750","Main Street"," 70-22","Complete","2022","42.3628","-71.0956","42 36276   "
"379","First Street PUD - Parcel B, AKA 21 Charles Street","107-111 First Street","107-111","First Street"," 10-37","Complete","2022","42.3677","-71.0779","42 3676609999999   "
"705","50 Cambridgepark Drive","50 Cambridgepark Drive","50","Cambridgepark Drive","265D-58","Complete","2022","42.3944","-71.1439","42 394409   "
"719","The Engine","730-750 Main Street","730-750","Main Street","70-86","Complete","2022","42.3628","-71.0956","42 36276   "
"762","60 Hampshire Street","60 Hampshire Street","60","Hampshire Street","42-86","Complete","2022","42.367","-71.0935","42 3669874167605   "
"379","First Street PUD - Parcel B, AKA 21 Charles Street","107-111 First Street","107-111","First Street"," 10-35","Complete","2022","42.3677","-71.0779","42 3676609999999   "
"732","The Foundry","101 Rogers Street","101","Rogers Street","27-82","Complete","2022","42.3668","-71.0827","42 36681   "
"713","MXD Infill - Google Building","325 Main Street","325","Main Street","44-99","Complete","2022","42.3628","-71.0866","42 36276   "
"631","95 Fawcett Street","95 Fawcett Street","95","Fawcett Street","267F-284","Complete","2022","42.3923","-71.1464","42 3922809999998   "
"696","1 JFK Street/Abbott Building","24 Brattle Street","24","Brattle Street","160-57","Complete","2022","42.3733","-71.1198","42 373283   "
"622","MIT Kendall Square - NoMa Phase 4 Residential Tower","165 Main Street","165","Main Street","14-59","Complete","2022","42.3627","-71.084","42 3627385552   "
"379","First Street PUD - Parcel B, AKA 21 Charles Street","107-111 First Street","107-111","First Street","10-34","Complete","2022","42.3677","-71.0779","42 3676609999999   "
"734","Cambridge Crossing (North Point) - Building U","441 Morgan Avenue","441","Morgan Avenue","1A-209","Complete","2023","42.3707","-71.0725","42 370657   "
"723","New Volpe US DOT Building","220 Binney Street","220","Binney Street","44-71","Complete","2023","42.3657","-71.0856","42 3657429165363   "
"787","Cambridge Crossing (North Point) - Parcel I2 East","144 Morgan Avenue","144","Morgan Avenue","1A-211","Complete","2023","42.3723","-71.0761","42 3722998980712   "
"736","Moderna Science Center","325 Binney Street","325","Binney Street","31-20","Complete","2023","42.3671","-71.0887","42 3671409999999   "
"715","Nuestra, LLC Retail Cannabis","200 Msgr. O'Brien Highway","200","Msgr. O'Brien Highway","20-103","Complete","2023","42.3722","-71.0794","42 3721779999999   "
"786","Cambridge Crossing (North Point) - Parcel I2 West","124 Morgan Avenue","124","Morgan Avenue","1A-211","Complete","2023","42.3725","-71.0764","42 3725079621244   "
"723","New Volpe US DOT Building","220 Binney Street","220","Binney Street"," 29-49","Complete","2023","42.3657","-71.0856","42 3657429165363   "
"701","140-142 Prospect Street","140-142 Prospect Street","140-142","Prospect Street","88-54","Complete","2023","42.3686","-71.1012","42 3685699999999   "
"752","Charles Park Lab Conversion","130-140 First Street","130-140","First Street","11-146","Complete","2023","42.3664","-71.0773","42 36636   "
"753","Cambridgeside Redevelopment - 60 First Street","60 First Street","60","First Street","8-86","Complete","2023","42.3689","-71.0772","42 36889   "
"723","New Volpe US DOT Building","220 Binney Street","220","Binney Street"," 29-39","Complete","2023","42.3657","-71.0856","42 3657429165363   "
"630","97-99 Elmwood Street","97-99 Elmwood Street","97-99","Elmwood Street","183-130","Complete","2023","42.3981","-71.1286","42 3980549999999   "
"751","Charles Park Lab Conversion","124 First Street","124","First Street","11-146","Complete","2023","42.3668","-71.0766","42 36681   "
"721","30 Hampshire Street","30 Hampshire Street","30","Hampshire Street","42-99","Complete","2024","42.3663","-71.092","42 3662679999999   "
"782","Rindge Commons Phase 1","432 Rindge Avenue","432","Rindge Avenue","268B-45","Complete","2024","42.3938","-71.1403","42 3937911564183   "
"778","1 Canal Park","1 Canal Park","1","Canal Park","8-76","Complete","2024","42.3694","-71.077","42 3693579554561   "
"668","53-55 Wheeler Street","53-55 Wheeler Street","53-55","Wheeler Street","267F-286","Complete","2024","42.3912","-71.1446","42 3912109999999   "
"743","Schwartzman College of Computing","51 Vassar Street","51","Vassar Street","52A-31","Complete","2024","42.3618","-71.0926","42 3617509999999   "
"372","Alexandria PUD - 90 Binney Street","90 Binney Street","90","Binney Street","15-31","Complete","2024","42.365","-71.0802","42 3649674983998   "
"746","Ragon Institute","600-624 Main Street","600-624","Main Street","71-46","Complete","2024","42.3625","-71.0931","42 362476   "
"720","101 Smith Place","101 Smith Place","101","Smith Place","267.3-284","Complete","2024","42.3926","-71.1508","42 392639   "
"746","Ragon Institute","600-624 Main Street","600-624","Main Street"," 71-20","Complete","2024","42.3625","-71.0931","42 362476   "
"685","3-5 Linnaean Street","3-5 Linnaean Street","3-5","Linnaean Street","176-53","Complete","2024","42.385","-71.1201","42 384951   "
"403","Sullivan Courthouse Redevelopment","40 Thorndike Street","40","Thorndike Street","19-22","Complete","2024","42.3692","-71.0796","42 36922588   "
"744","MIT Graduate Student Dormitory","269-299 Vassar Street","269-299","Vassar Street","61-12","Complete","2025","42.356","-71.1037","42 3560469999999   "
"747","United American Veterans Clubhouse","1 Cedar Street","1","Cedar Street","191-118","Complete","2025","42.3976","-71.131","42 3975999999999   "
"806","300 Binney Street","300 Binney Street","300","Binney Street","30-41","Complete","2025","42.3661","-71.0905","42 366082   "
"744","MIT Graduate Student Dormitory","269-299 Vassar Street","269-299","Vassar Street"," 61-11","Complete","2025","42.356","-71.1037","42 3560469999999   "
"773","Alewife Park - Building 2","3 Alewife Park","3","Alewife Park"," 269-135","Complete","2025","42.3986","-71.139","42 3985846773868   "
"772","213 Harvard Street","213 Harvard Street","213","Harvard Street","88-63","Complete","2025","42.3675","-71.0988","42 367518165589   "
"717","Polish Club","747 Cambridge Street","747","Cambridge Street","36-116","Complete","2025","42.3724","-71.0891","42 37241   "
"773","Alewife Park - Building 2","3 Alewife Park","3","Alewife Park","269-131","Complete","2025","42.3986","-71.139","42 3985846773868   "
"790","Alewife Park - Building 3","5 Alewife Park","5","Alewife Park","269-131","Complete","2025","42.3985","-71.1379","42 3985301870652   "
"744","MIT Graduate Student Dormitory","269-299 Vassar Street","269-299","Vassar Street"," 61-13","Complete","2025","42.356","-71.1037","42 3560469999999   "
"771","116 Norfolk Street","116 Norfolk Street","116","Norfolk Street","89-28","Complete","2025","42.3668","-71.1","42 3668199774469   "
"776","New MIT Music Building","201 Amherst Street","201","Amherst Street","57-173","Complete","2025","42.3579","-71.0959","42 3578688554909   "
"785","Alewife Park - Building 1","1 Alewife Park","1","Alewife Park","269-132","Complete","2025","42.3986","-71.1399","42 3986363027138   "
"790","Alewife Park - Building 3","5 Alewife Park","5","Alewife Park"," 269-135","Complete","2025","42.3985","-71.1379","42 3985301870652   "
"744","MIT Graduate Student Dormitory","269-299 Vassar Street","269-299","Vassar Street"," 62-32","Complete","2025","42.356","-71.1037","42 3560469999999   "
"649","Acorn Holdings Concord Ave. Phase II","605 Concord Avenue","605","Concord Avenue","267F-299","Complete","2025","42.3892","-71.1449","42 3892019999999   "
"744","MIT Graduate Student Dormitory","269-299 Vassar Street","269-299","Vassar Street"," 54-28","Complete","2025","42.356","-71.1037","42 3560469999999   "
"754","Cambridgeside Redevelopment - 20 Cambridgeside Place","20 Cambridgeside Place","20","Cambridgeside Place","8-88","Complete","2025","42.3671","-71.0757","42 3671   "
"756","New Tobin School","197 Vassal Lane","197","Vassal Lane","260-80","Complete","2026","42.3841","-71.1397","42 38414   "
"781","Metropolitan Storage Warehouse","134 Massachusetts Avenue","134","Massachusetts Avenue","56-4","Complete","2026","42.36","-71.0961","42 3600466894074   "
"704","University Monument Site","1043-1059 Cambridge Street","1043-1059","Cambridge Street","81-101","Complete","2026","42.3732","-71.0949","42 37321   "
"690","MXD Infill - 290 Binney Street (Building C)","290 Binney Street","290","Binney Street","43-78","Complete","2026","42.3661","-71.087","42 366052   "
"704","University Monument Site","1043-1059 Cambridge Street","1043-1059","Cambridge Street"," 81-102","Complete","2026","42.3732","-71.0949","42 37321   "
"798","2 Garden Street","2 Garden Street","2","Garden Street","169-95","Complete","2026","42.3757","-71.1208","42 3757111755091   "
