wikipedia_page_id,wikipedia_title,wikipedia_url,latitude,longitude,match_method,match_distance_meters,candidate_count,candidate_bldgids,matched_bldgid,confidence_status,decision_status,review_reason,previous_title,previous_latitude,previous_longitude
17710370,Abraham Watson House,https://en.wikipedia.org/wiki/Abraham_Watson_House,42.392472222222224,-71.13294444444443,contained,0.00,1,64-9,64-9,strong,approved,Preserved human approved decision.,,42.392472222222224,-71.13294444444443
17710385,Patrick Slowey House,https://en.wikipedia.org/wiki/Patrick_Slowey_House,42.39025,-71.13194444444444,contained,0.00,1,97-8,97-8,strong,approved,Preserved human approved decision.,,42.39025,-71.13194444444444
17710395,Shady Hill Historic District,https://en.wikipedia.org/wiki/Shady_Hill_Historic_District,42.37916666666667,-71.11138888888888,contained,0.00,1,258-5,258-5,strong,rejected,Preserved human rejected decision.,,42.37916666666667,-71.11138888888888
17710414,"Shell Oil Company ""Spectacular"" Sign",https://en.wikipedia.org/wiki/Shell_Oil_Company_%22Spectacular%22_Sign,42.35680555555556,-71.11441666666666,nearest,7.40,1,718-7,718-7,ambiguous,rejected,Preserved human rejected decision.,,42.35680555555556,-71.11441666666666
17710431,Edmund Reardon House,https://en.wikipedia.org/wiki/Edmund_Reardon_House,42.36036111111111,-71.10780555555554,contained,0.00,1,692-16,692-16,strong,approved,Preserved human approved decision.,,42.36036111111111,-71.10780555555554
17710460,River Street Firehouse,https://en.wikipedia.org/wiki/River_Street_Firehouse,42.36327777777778,-71.11,contained,0.00,1,641-9,641-9,strong,approved,Preserved human approved decision.,,42.36327777777778,-71.11
17710485,Ware Hall,https://en.wikipedia.org/wiki/Ware_Hall,42.371944444444445,-71.11305555555555,contained,0.00,1,366-1,366-1,strong,approved,Preserved human approved decision.,,42.371944444444445,-71.11305555555555
17710508,Walden Street Cattle Pass,https://en.wikipedia.org/wiki/Walden_Street_Cattle_Pass,42.38941666666667,-71.12466666666666,nearest,13.19,1,102-21,102-21,ambiguous,rejected,Preserved human rejected decision.,,42.38941666666667,-71.12466666666666
17710533,Albert Vinal House,https://en.wikipedia.org/wiki/Albert_Vinal_House,42.37052777777778,-71.10775,contained,0.00,1,440-26,440-26,strong,approved,Preserved human approved decision.,,42.37052777777778,-71.10775
17710548,Valentine Soap Workers Cottages,https://en.wikipedia.org/wiki/Valentine_Soap_Workers_Cottages,42.36244444444445,-71.10538888888888,nearest,1.83,1,649-23,649-23,ambiguous,approved,Preserved human approved decision.,,42.36244444444445,-71.10538888888888
17710565,Reversible Collar Company Building,https://en.wikipedia.org/wiki/Reversible_Collar_Company_Building,42.37083333333334,-71.11486111111111,contained,0.00,1,439-4,439-4,strong,approved,Preserved human approved decision.,,42.37083333333334,-71.11486111111111
17710590,William Saunders House,https://en.wikipedia.org/wiki/William_Saunders_House,42.384277777777775,-71.11883333333333,contained,0.00,1,173-15,173-15,strong,approved,Preserved human approved decision.,,42.384277777777775,-71.11883333333333
17710614,"Urban Rowhouse (40–48 Pearl Street, Cambridge, Massachusetts)","https://en.wikipedia.org/wiki/Urban_Rowhouse_(40%E2%80%9348_Pearl_Street,_Cambridge,_Massachusetts)",42.36372222222222,-71.10341666666666,contained,0.00,1,640-1,640-1,strong,approved,Preserved human approved decision.,,42.36372222222222,-71.10341666666666
17710645,University Museum (Harvard University),https://en.wikipedia.org/wiki/University_Museum_(Harvard_University),42.37847222222222,-71.11552777777777,contained,0.00,1,241-17,241-17,strong,approved,Preserved human approved decision.,,42.37847222222222,-71.11552777777777
17710666,Union Railway Car Barn,https://en.wikipedia.org/wiki/Union_Railway_Car_Barn,42.372055555555555,-71.08641666666666,contained,0.00,1,388-19,388-19,strong,approved,Preserved human approved decision.,,42.372055555555555,-71.08641666666666
17710686,Taylor Square Firehouse,https://en.wikipedia.org/wiki/Taylor_Square_Firehouse,42.38425,-71.12988888888889,contained,0.00,1,170-1,170-1,strong,approved,Preserved human approved decision.,,42.38425,-71.12988888888889
17710700,Treadwell-Sparks House,https://en.wikipedia.org/wiki/Treadwell-Sparks_House,42.376666666666665,-71.11555555555555,contained,0.00,1,241-61,241-61,strong,approved,Preserved human approved decision.,,42.376666666666665,-71.11555555555555
17710714,Stickney-Shepard House,https://en.wikipedia.org/wiki/Stickney-Shepard_House,42.37133333333333,-71.11344444444444,contained,0.00,1,408-8,408-8,strong,approved,Preserved human approved decision.,,42.37133333333333,-71.11344444444444
17710743,The Stanstead,https://en.wikipedia.org/wiki/The_Stanstead,42.37388888888889,-71.11444444444444,contained,0.00,1,333-1,349-12,strong,approved,Preserved human approved decision.,,42.37388888888889,-71.11444444444444
17710762,Second Waterhouse House,https://en.wikipedia.org/wiki/Second_Waterhouse_House,42.378680555555555,-71.12245833333333,contained,0.00,1,252-24,252-24,strong,approved,Preserved human approved decision.,,42.378680555555555,-71.12245833333333
17710795,Salem–Auburn Streets Historic District,https://en.wikipedia.org/wiki/Salem%E2%80%93Auburn_Streets_Historic_District,42.36277777777778,-71.10388888888889,contained,0.00,1,663-1,663-1,strong,rejected,Preserved human rejected decision.,,42.36277777777778,-71.10388888888889
17710815,Second Cambridge Savings Bank Building,https://en.wikipedia.org/wiki/Second_Cambridge_Savings_Bank_Building,42.37288888888889,-71.11916666666666,contained,0.00,1,357-7,357-7,strong,approved,Preserved human approved decision.,,42.37288888888889,-71.11916666666666
17710839,Sears Tower – Harvard Observatory,https://en.wikipedia.org/wiki/Sears_Tower_%E2%80%93_Harvard_Observatory,42.381461111111115,-71.12836944444443,contained,0.00,1,201-13,201-13,strong,approved,Preserved human approved decision.,,42.381461111111115,-71.12836944444443
17710856,Ivory Sands House,https://en.wikipedia.org/wiki/Ivory_Sands_House,42.370444444444445,-71.09702777777777,contained,0.00,1,456-11,456-11,strong,approved,Preserved human approved decision.,,42.370444444444445,-71.09702777777777
17710874,Hiram Sands House,https://en.wikipedia.org/wiki/Hiram_Sands_House,42.369416666666666,-71.11319444444445,contained,0.00,1,489-6,489-6,strong,approved,Preserved human approved decision.,,42.369416666666666,-71.11319444444445
18426501,Harvard University,https://en.wikipedia.org/wiki/Harvard_University,42.37444444444444,-71.11694444444444,nearest,1.83,1,318-16,318-16,ambiguous,rejected,Preserved human rejected decision.,,42.37444444444444,-71.11694444444444
18568871,List Visual Arts Center,https://en.wikipedia.org/wiki/List_Visual_Arts_Center,42.3608,-71.0877,contained,0.00,1,672-5,672-5,strong,approved,Preserved human approved decision.,,42.3608,-71.0877
19227918,Harvard University Police Department,https://en.wikipedia.org/wiki/Harvard_University_Police_Department,42.368944444444445,-71.11218333333333,nearest,8.62,1,489-17,489-17,ambiguous,rejected,Preserved human rejected decision.,,42.368944444444445,-71.11218333333333
19412748,Center for Bits and Atoms,https://en.wikipedia.org/wiki/Center_for_Bits_and_Atoms,42.3604,-71.087,contained,0.00,1,672-6,672-6,strong,rejected,Preserved human rejected decision.,,42.3604,-71.087
