wikipedia_page_id,wikipedia_title,wikipedia_url,latitude,longitude,match_method,match_distance_meters,candidate_count,candidate_bldgids,matched_bldgid,confidence_status,decision_status,review_reason,previous_title,previous_latitude,previous_longitude
62384559,La Grande Voile (The Big Sail),https://en.wikipedia.org/wiki/La_Grande_Voile_(The_Big_Sail),42.359734,-71.088975,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
62394623,Transparent Horizon,https://en.wikipedia.org/wiki/Transparent_Horizon,42.360733,-71.088695,nearest,14.92,1,668-66,668-66,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
62397377,Killian Court,https://en.wikipedia.org/wiki/Killian_Court,42.35877,-71.09148,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
62400197,Invaders (Wiley),https://en.wikipedia.org/wiki/Invaders_(Wiley),42.36100277777778,-71.09035277777777,nearest,2.26,1,668-57,668-57,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
62537464,North Bank Bridge,https://en.wikipedia.org/wiki/North_Bank_Bridge,42.3696,-71.0657,contained,0.00,1,999-3464,999-3464,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
62547600,Sennott Park,https://en.wikipedia.org/wiki/Sennott_Park,42.3684,-71.1,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
62670824,"Civil War Monument (Cambridge, Massachusetts)","https://en.wikipedia.org/wiki/Civil_War_Monument_(Cambridge,_Massachusetts)",42.37637,-71.12039,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
62692461,Discobolus (Harvard University),https://en.wikipedia.org/wiki/Discobolus_(Harvard_University),42.37713,-71.11937,nearest,8.31,1,266-14,266-14,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
62692831,Night Wall I,https://en.wikipedia.org/wiki/Night_Wall_I,42.37842,-71.11778,nearest,13.15,1,266-4,266-4,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
63685320,Kendall Hotel,https://en.wikipedia.org/wiki/Kendall_Hotel,42.3622,-71.0873,contained,0.00,1,672-2,672-2,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
64772113,Paris-Saclay Faculty of Sciences,https://en.wikipedia.org/wiki/Paris-Saclay_Faculty_of_Sciences,42.372686111111115,-71.1185361111111,contained,0.00,1,357-3,357-3,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
66031409,Danehy Park,https://en.wikipedia.org/wiki/Danehy_Park,42.389,-71.136,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
66513595,Magazine Beach,https://en.wikipedia.org/wiki/Magazine_Beach,42.35502777777778,-71.11361111111111,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
69843018,Pusey Library,https://en.wikipedia.org/wiki/Pusey_Library,42.37305555555555,-71.11527777777778,nearest,17.49,1,318-8,318-8,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
70740162,Wyss Institute for Biologically Inspired Engineering,https://en.wikipedia.org/wiki/Wyss_Institute_for_Biologically_Inspired_Engineering,42.38122,-71.11626,nearest,6.34,1,224-9,224-9,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
72474005,Oleana (restaurant),https://en.wikipedia.org/wiki/Oleana_(restaurant),42.3705,-71.0972,contained,0.00,1,456-8,456-8,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
72732931,New England Intercollegiate Hockey League,https://en.wikipedia.org/wiki/New_England_Intercollegiate_Hockey_League,42.3597,-71.0919,contained,0.00,1,668-10,668-10,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
73803379,Harvest (Harvard Square),https://en.wikipedia.org/wiki/Harvest_(Harvard_Square),42.37373,-71.12187,contained,0.00,1,355-4,355-4,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
74981050,John Winthrop Chambers,https://en.wikipedia.org/wiki/John_Winthrop_Chambers,42.38972222222222,-71.1211111111111,nearest,6.50,1,100-4,100-4,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
75181463,Jerry's Pond,https://en.wikipedia.org/wiki/Jerry%27s_Pond,42.3948,-71.1391,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
75676759,Prince Hall Monument,https://en.wikipedia.org/wiki/Prince_Hall_Monument,42.37636111111111,-71.12124999999999,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
75700032,Neighborhood Nine,https://en.wikipedia.org/wiki/Neighborhood_Nine,42.38388888888889,-71.12916666666666,nearest,14.11,1,999-2088,999-2088,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
77229480,Hungry Mother,https://en.wikipedia.org/wiki/Hungry_Mother,42.367707,-71.091125,contained,0.00,1,541-22,541-22,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
81336598,Pro-Palestine protests at Massachusetts Institute of Technology,https://en.wikipedia.org/wiki/Pro-Palestine_protests_at_Massachusetts_Institute_of_Technology,42.3584,-71.0947,nearest,20.37,1,708-13,708-13,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
