building_id,hail_address,hail_street_name,classification,construction_year,match_stage,match_status,treatment,candidate_address_point_count,candidate_bldgid_count,candidate_bldgids,candidate_addresses,candidate_street_names,matched_bldgid,matched_bldgids,match_reason,review_reason_category,review_reason_summary,override_decision,override_note,override_reviewed_at,pre_override_match_stage,pre_override_match_status,pre_override_matched_bldgid,pre_override_matched_bldgids,pre_override_candidate_bldgids
follen-st_13,13 Follen Street,Follen Street,"Addition, rear, or secondary building",1900,7,review,manual_review_loose_address_proximity,7,5,252-32|999-1478|999-1500|999-1523|999-1538,11 Follen St|15 Follen St|21 Follen St|5 Follen St|5-A Follen St|7 Follen St|9 Follen St,Follen St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (252-32: Δ6 house numbers, 0.0 m, 999-1478: Δ8 house numbers, 16.9 m, 999-1500: Δ2 house numbers, 12.2 m, 999-1523: Δ2 house numbers, 12.1 m, 999-1538: Δ8 house numbers, 12.9 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
franklin-st_140_2,140 Franklin Street,Franklin Street,Unclear,2000,7,review,manual_review_loose_address_proximity,1,1,665-1,150 Franklin St,Franklin St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (665-1: Δ10 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
franklin-st_335_2,335 Franklin Street,Franklin Street,Current building,1989,7,review,manual_review_loose_address_proximity,3,2,558-26|999-343,325-2 Franklin St|325-3 Franklin St|345 Franklin St,Franklin St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (558-26: Δ10 house numbers, 0.0 m, 999-343: Δ10 house numbers, 12.4 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
franklin-st_367_2,367 Franklin Street,Franklin Street,Current building,1927,7,review,manual_review_loose_address_proximity,1,1,558-24,369 Franklin St,Franklin St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (558-24: Δ2 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
fresh-pond-ln_66,66 Fresh Pond Lane,Fresh Pond Lane,Current building,1924,7,review,manual_review_loose_address_proximity,5,4,999-1423|999-1511|999-1549|999-1560,57 Fresh Pond Ln|59 Fresh Pond Ln|71 Fresh Pond Ln|72 Fresh Pond Ln|76 Fresh Pond Ln,Fresh Pond Ln,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (999-1423: Δ7 house numbers, 16.1 m, 999-1511: Δ5 house numbers, 9.7 m, 999-1549: Δ6 house numbers, 16.5 m, 999-1560: Δ10 house numbers, 15.6 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
fresh-pond-pkwy_98,98 Fresh Pond Parkway,Fresh Pond Parkway,Current building,1928,7,review,manual_review_loose_address_proximity,6,6,999-1516|999-1586|999-1608|999-1616|999-1636|999-1657,101 Fresh Pond Pkwy|103 Fresh Pond Pkwy|105 Fresh Pond Pkwy|90 Fresh Pond Pkwy|93 Fresh Pond Pkwy|99 Fresh Pond Pkwy,Fresh Pond Pkwy,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (999-1516: Δ8 house numbers, 13.1 m, 999-1586: Δ5 house numbers, 13.9 m, 999-1608: Δ1 house numbers, 13.4 m, 999-1616: Δ3 house numbers, 14.5 m, 999-1636: Δ5 house numbers, 12.5 m, 999-1657: Δ7 house numbers, 13.7 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
fresh-pond-pkwy_317_2,317 Fresh Pond Parkway,Fresh Pond Parkway,Current building,1933,7,review,manual_review_loose_address_proximity,4,1,133-16,307 Fresh Pond Pkwy|311 Fresh Pond Pkwy|313 Fresh Pond Pkwy|325 Fresh Pond Pkwy,Fresh Pond Pkwy,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (133-16: Δ4 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
gold-star-rd_1-3,1-3 Gold Star Road,Gold Star Road,"Addition, rear, or secondary building",1906,7,review,manual_review_loose_address_proximity,1,1,999-3143,12 Gold Star Rd,Gold Star Rd,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (999-3143: Δ9 house numbers, 6.8 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
green-st_20,20 Green Street,Green Street,Current building,1997,7,review,manual_review_loose_address_proximity,3,1,662-11,10 Green St|11 Green St|15 Green St,Green St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (662-11: Δ5 house numbers, 13.7 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
green-st_176,176 Green Street,Green Street,Current building,1894,7,review,manual_review_loose_address_proximity,1,1,640-23,184 Green St,Green St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (640-23: Δ8 house numbers, 11.7 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
